year,agricultural_land%,forest_land%,land_area,access_to_electricity%,renewvable_energy_consumption%,CO2_emisions,population_density,inflation_annual%,research_and_development_expenditure%,tax_revenue%,individuals_using_internet%,military_expenditure%,GDP_current_US,government_expenditure_on_education%,government_health_expenditure%,life_expectancy_at_birth,rural_population
1960,,,,,,,,,,,,6.35623625,1.38E+12,,,50.89417969,2012191086
1961,34.55308032,,129629034.5,,,,23.70164843,,,,,6.311013483,1.45E+12,,,52.84633643,2024407072
1962,34.61811137,,129629014.5,,,,24.12152576,,,,,6.350213901,1.55E+12,,,55.20868386,2046772381
1963,34.70202678,,129629024.5,,,,24.6351379,,,,,6.01096286,1.67E+12,,,55.54234061,2078318202
1964,34.77580871,,129629024.5,,,,25.15209798,,,,,5.52399724,1.83E+12,,,56.03487534,2109406396
1965,34.87125229,,129629014.5,,,,25.67487715,,,,,5.306469016,1.99E+12,,,55.86063331,2146012318
1966,34.93527868,,129629004.5,,,,26.21697431,,,,,5.656017024,2.16E+12,,,56.38974347,2184556338
1967,35.01200724,,129628994.5,,,,26.7561323,,,,,6.108346053,2.30E+12,,,56.79478414,2222101628
1968,35.27024254,,129628984.5,,,,27.30997267,,,,,5.996469394,2.48E+12,,,57.22542114,2260742254
1969,35.3464841,,129628984.5,,,,27.88398636,,,,,5.573666568,2.74E+12,,,57.5355516,2301148668
1970,35.24709037,,129628974.5,,,,28.46747785,,,,,4.968567821,3.00E+12,,,57.84094631,2342292204
1971,35.35636792,,129628964.5,,,,29.06703773,,,,,4.488945698,3.31E+12,,,57.96723793,2384038046
1972,35.43405971,,129628864.5,,,,29.65086202,,,,,4.224842518,3.82E+12,,,58.79292431,2423730946
1973,35.54900811,,129628794.5,,,,30.24032913,,,,,3.770595513,4.66E+12,,,59.29465121,2462770561
1974,35.61777275,,129628324.5,,,,30.82573492,,,,,3.787125338,5.37E+12,,,59.71363348,2499872294
1975,35.68719574,,129627804.5,,,,31.39775657,,,,,3.805580465,5.98E+12,,,60.16610027,2536825022
1976,35.68969152,,129627594.5,,,,31.96149677,,,,,3.669563385,6.50E+12,,,60.62581046,2571572486
1977,35.69398756,,129627454.5,,,,32.52263482,,,,,3.757215671,7.35E+12,,,61.12086665,2605496407
1978,35.81926719,,129627454.5,,,,33.09326623,,,,,3.57437977,8.69E+12,,,61.48145494,2636814591
1979,35.8763145,,129627414.5,,,,33.6791588,,,,,3.504088037,1.01E+13,,,61.9027523,2665874645
1980,35.99057039,,129627144.5,,,,34.27020087,,,,,3.524347033,1.13E+13,,,62.23355552,2694239077
1981,36.00549498,,129627224.5,,,,34.87629523,12.44243689,,,,3.801194096,1.17E+13,,,62.61128333,2722679659
1982,36.11484643,,129626994.5,,,,35.50727496,10.22172714,,,,4.330370034,1.16E+13,,,62.97221434,2754517175
1983,36.17458978,,129626954.5,,,,36.14121497,8.669271598,,,,4.181294544,1.18E+13,,,63.21564058,2787635724
1984,36.4053994,,129625465.5,,,,36.77241091,8.080320173,,,,4.176355266,1.23E+13,,,63.52012413,2819351212
1985,36.64034616,,129625365.5,,,,37.41610992,6.807566558,,,,4.235717257,1.29E+13,,,63.81228938,2851340118
1986,36.66632259,,129625465.5,,,,38.07898768,5.822666962,,,,3.918282099,1.53E+13,,,64.20823171,2883887508
1987,36.80599609,,129625365.5,,,,38.76007854,5.710119385,,,,3.788566077,1.74E+13,,,64.5127565,2917033575
1988,36.94043815,,129625355.5,,,,39.44743572,7.113406529,,,,3.533894851,1.94E+13,,,64.68486253,2950001799
1989,37.03209515,,129624365.5,,,,40.13583801,6.923905037,,,,3.442347159,2.03E+13,,,65.02281527,2982906394
1990,37.12073672,,129624365.5,,16.66232979,21284042.79,40.83642337,8.063460909,,,0.048824693,3.30583503,2.29E+13,,,65.18840651,3015951177
1991,37.15199033,,129624475.5,,16.82127354,21440490.2,41.52407876,8.996938735,,14.20632367,0.078810516,3.006247865,2.38E+13,,,65.33519025,3046930445
1992,37.18953868,32.51101925,129624495.5,,17.1657801,21390040.84,42.20008384,7.636108523,,13.90071426,0.125186329,2.939309566,2.55E+13,,,65.59637517,3076592499
1993,37.06519739,32.45485226,129620749.5,,17.20988917,21531833.41,42.86831656,7.144587069,,13.7334943,0.17900668,2.766238918,2.59E+13,,,65.78025124,3105299927
1994,37.22828691,32.3971534,129608992.5,,17.35490067,21676894.94,43.53128534,10.24793556,,,0.360508149,2.578269214,2.79E+13,,,66.02523417,3132644541
1995,37.20401916,32.33725801,129606102.5,,17.42600701,22299203.28,44.18570097,9.077380952,,,0.683082061,2.384271857,3.11E+13,,,66.21565793,3159036336
1996,37.26701501,32.2767225,129605647.5,,17.44366344,22778983.29,44.84048585,6.526095694,1.964244736,,1.326567158,2.311758743,3.17E+13,,,66.48003428,3185075930
